statisticalID,name,partOf,code,physicalType
CT-124,KIBUKU COUNTY,Location/227,ADMIN_STRUCTURE,Jurisdiction
CT-125,KWEEN COUNTY,Location/228,ADMIN_STRUCTURE,Jurisdiction
CT-126,SOI COUNTY,Location/228,ADMIN_STRUCTURE,Jurisdiction
CT-127,LUUKA NORTH COUNTY,Location/229,ADMIN_STRUCTURE,Jurisdiction
CT-128,LUUKA SOUTH COUNTY,Location/229,ADMIN_STRUCTURE,Jurisdiction
CT-129,BUKOOLI ISLAND COUNTY,Location/230,ADMIN_STRUCTURE,Jurisdiction
CT-130,BUKOOLI SOUTH COUNTY,Location/230,ADMIN_STRUCTURE,Jurisdiction
CT-131,NAMAYINGO SOUTH COUNTY,Location/230,ADMIN_STRUCTURE,Jurisdiction
CT-132,KAPIR COUNTY,Location/231,ADMIN_STRUCTURE,Jurisdiction
CT-133,NGORA COUNTY,Location/231,ADMIN_STRUCTURE,Jurisdiction
CT-134,KASILO COUNTY,Location/232,ADMIN_STRUCTURE,Jurisdiction
CT-135,PINGIRE COUNTY,Location/232,ADMIN_STRUCTURE,Jurisdiction
CT-136,SERERE COUNTY,Location/232,ADMIN_STRUCTURE,Jurisdiction
CT-137,BUTEBO COUNTY,Location/233,ADMIN_STRUCTURE,Jurisdiction
CT-138,BUBULO EAST COUNTY,Location/234,ADMIN_STRUCTURE,Jurisdiction
CT-139,NAMISINDWA COUNTY,Location/234,ADMIN_STRUCTURE,Jurisdiction
CT-140,BUGWERI COUNTY,Location/235,ADMIN_STRUCTURE,Jurisdiction
CT-141,KAPELEBYONG COUNTY,Location/236,ADMIN_STRUCTURE,Jurisdiction
CT-142,KALAKI COUNTY,Location/237,ADMIN_STRUCTURE,Jurisdiction
CT-143,JINJA NORTH DIVISION,Location/238,ADMIN_STRUCTURE,Jurisdiction
CT-144,JINJA SOUTH DIVISION,Location/238,ADMIN_STRUCTURE,Jurisdiction
CT-145,INDUSTRIAL DIVISION,Location/239,ADMIN_STRUCTURE,Jurisdiction
CT-146,NORTHERN DIVISION,Location/239,ADMIN_STRUCTURE,Jurisdiction
CT-147,SOROTI EAST DIVISION,Location/240,ADMIN_STRUCTURE,Jurisdiction
CT-148,SOROTI WEST DIVISION,Location/240,ADMIN_STRUCTURE,Jurisdiction
CT-149,ADJUMANI EAST COUNTY,Location/301,ADMIN_STRUCTURE,Jurisdiction
CT-150,ADJUMANI WEST COUNTY,Location/301,ADMIN_STRUCTURE,Jurisdiction
CT-151,APAC MUNICIPALITY,Location/302,ADMIN_STRUCTURE,Jurisdiction
CT-152,MARUZI COUNTY,Location/302,ADMIN_STRUCTURE,Jurisdiction
CT-153,MARUZI NORTH COUNTY,Location/302,ADMIN_STRUCTURE,Jurisdiction
CT-154,ASWA COUNTY,Location/304,ADMIN_STRUCTURE,Jurisdiction
CT-155,CHUA EAST COUNTY,Location/305,ADMIN_STRUCTURE,Jurisdiction
CT-156,CHUA WEST COUNTY,Location/305,ADMIN_STRUCTURE,Jurisdiction
CT-157,KITGUM MUNICIPALITY,Location/305,ADMIN_STRUCTURE,Jurisdiction
CT-158,JIE COUNTY,Location/306,ADMIN_STRUCTURE,Jurisdiction
CT-159,KOTIDO MUNICIPALITY,Location/306,ADMIN_STRUCTURE,Jurisdiction
CT-160,ERUTE COUNTY,Location/307,ADMIN_STRUCTURE,Jurisdiction
CT-161,MATHENIKO COUNTY,Location/308,ADMIN_STRUCTURE,Jurisdiction
